"","x"
"82","<U+0001F6A8> El turismo ha pasado de facturar 90.000 millones de euros a solo 20.000.

<U+274C> Pero el Gobierno de España no ayuda como hacen en otros países.

<U+0001F449> @InesArrimadas ""Solo critican al sector y lo abandonan"" #ParaQueGaneElTurismo https://t.co/LVmGrauu2W"
"83","<U+26A0><U+FE0F> Cataluña es la segunda comunidad autónoma en la que más ha caído el turismo extranjero debido a:

<U+274C> #COVID19 
<U+274C> Ruptura de la convivencia por el 'procés'
<U+274C> Tripartito en Barcelona

<U+0001F34A> @InesArrimadas ""Tenemos que seguir el ejemplo de Andalucía"" #ParaQueGaneElTurismo https://t.co/BX9wMyIOPu"
"84","<U+2705> Ayudas directas de hasta el 75% de la facturación perdida para autónomos y pymes.
<U+2705> Respaldo de hasta 4.000 euros para alquiler de locales.
<U+2705> Plan de choque para el ocio nocturno.

<U+0001F34A> @AnnaGrauArias ha desvelado algunas de las medidas de @ciutadans #ParaQueGaneElTurismo https://t.co/9Pofk6n8bY"
"85","<U+26A0><U+FE0F> El separatismo rechaza la 'marca España' y se ha cargado la 'marca Barcelona'.

<U+0001F34A> @AnnaGrauArias ""Para recuperar el turismo en Cataluña necesitaremos medidas nacionales, autonómicas y locales"" #ParaQueGaneElTurismo https://t.co/tZcUbD3Qt8"
"86","<U+0001F6A8> ""Ada Colau tiene un concepto castrista del turismo"".

<U+274C> Su manera de pensar es: 'Vivo del turismo, pero no lo quiero'.

<U+0001F34A> @AnnaGrauArias #ParaQueGaneElTurismo https://t.co/f26EWkLGT7"
"87","<U+0001F34A> Cs cree en los autónomos.
<U+0001F34A> Cree en los emprendedores.
<U+0001F34A> Cree en los empresarios.

<U+2705> @JuanMarin_Cs ""Sabemos que el turismo se puede recuperar muy rápido y por eso hay que darle todas las herramientas necesarias desde la Generalitat"" #ParaQueGaneElTurismo https://t.co/FdpFcizAIG"
"88","<U+0001F6A8> El Gobierno de España todavía no ha puesto en marcha un plan de rescate para el sector turístico.

<U+0001F34A> @JuanMarin_Cs ""Ante esta desatención, hemos apostado por posicionar la imagen de Andalucía para estar listos para la reactivación tras la pandemia"" #ParaQueGaneElTurismo https://t.co/i30rSD4cXA"
"89","<U+0001F4B3> En Andalucía pusimos en marcha un Bono Turístico para incrementar el turismo local.

<U+0001F30D> Junto a expertos y académicos estamos repotenciando la imagen de esta tierra en el mundo.

<U+0001F34A> @JuanMarin_Cs  #ParaQueGaneElTurismo https://t.co/pqCufwI9N2"
"90","<U+0001F519> En Andalucía invertimos más de 300 millones de euros para proteger al sector turístico ante la crisis.

<U+0001F34A> @JuanMarin_Cs ""Ese es el camino que debe seguir Cataluña con @CiutadansCs"" #ParaQueGaneElTurismo

<U+0001F449> Cambiando decretos incentivamos inversiones de más de 2.000 millones. https://t.co/MXlYhsuhan"
"91","<U+0001F4AA> El turismo genera empleo, riqueza y oportunidades.

<U+274C> No es algo residual, como dice Garzón.
<U+274C> El Gobierno se niega a bajarle los impuestos.

<U+0001F34A> @JuanMarin_Cs ""Nosotros sí creemos en los autónomos y pymes de este sector"" #ParaQueGaneElTurismo https://t.co/d6i4NVGOjE"
"92","<U+0001F34A><U+2705> Frente al abandono del turismo, @CiutadansCs propone reforzarlo con visión y gestión.

<U+0001F5F3> @MLuzGuilarte ""Para eso hay que aprovechar la oportunidad del 14F para cerrar la etapa negra del 'procés'"" #ParaQueGaneElTurismo https://t.co/0hUeriWehI"
"93","<U+2049><U+FE0F> ¿Qué ha traído el tripartito a Barcelona con Ada Colau?

<U+26D4><U+FE0F> Turismofobia.
<U+26D4><U+FE0F> Rechazo a proyectos culturales.
<U+26D4><U+FE0F> Riesgo de eventos como el Mobile World Congress.

<U+0001F34A> @MLuzGuilarte ""Hemos perdido casi el 80% del turismo respecto a 2019"" #ParaQueGaneElTurismo https://t.co/orXdmRCu22"
"94","<U+26A0><U+FE0F> El turismo en Cataluña enfrenta una doble crisis.

<U+274C> Un Gobierno de España que lo menosprecia.
<U+274C> Un 'procés' que ha mermado la marca turística catalana.

<U+0001F34A> @MLuzGuilarte ""A esto se suma el tripartito de Barcelona con Ada Colau"" #ParaQueGaneElTurismo https://t.co/k1WFSfe8gV"
